month,district,pred_civil_works_count,pred_district_civil_works_count,pred_district_community_dev_count,pred_district_electricity_count,pred_district_environment_count,pred_district_inspection_count,pred_district_sanitation_count,pred_education_count,pred_electricity_count,pred_environment_count,pred_metro_police_count,pred_others_count,pred_police_count,pred_private_sector_count,pred_public_health_count,pred_transportation_count,pred_waterworks_count
1,คลองสาน,443.0,369.0,0.0,0.0,40.0,8.0,0.0,7.0,0.0,66.0,208.0,0.0,181.0,0.0,53.0,2.0,0.0
1,คลองสามวา,935.0,924.0,0.0,20.0,204.0,695.0,0.0,1.0,33.0,475.0,1.0,0.0,0.0,0.0,12.0,107.0,0.0
1,คลองเตย,1208.0,31.0,0.0,64.0,2.0,1194.0,0.0,1.0,50.0,170.0,547.0,0.0,494.0,0.0,1.0,284.0,0.0
1,คันนายาว,234.0,0.0,0.0,135.0,306.0,196.0,0.0,0.0,412.0,403.0,3.0,0.0,3.0,0.0,0.0,198.0,0.0
1,จตุจักร,1997.0,349.0,0.0,1012.0,33.0,1764.0,0.0,16.0,1115.0,75.0,115.0,7.0,117.0,15.0,0.0,1465.0,0.0
1,จอมทอง,362.0,0.0,0.0,621.0,539.0,32.0,0.0,1.0,612.0,424.0,0.0,11.0,0.0,0.0,0.0,65.0,0.0
1,ดอนเมือง,367.0,494.0,2.0,0.0,76.0,405.0,8.0,1.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0
1,ดินแดง,1079.0,946.0,0.0,51.0,40.0,960.0,0.0,1.0,57.0,3.0,0.0,51.0,1.0,0.0,0.0,32.0,0.0
1,ดุสิต,511.0,0.0,2.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,388.0,4.0
1,ตลิ่งชัน,833.0,307.0,0.0,0.0,0.0,648.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,525.0,0.0
1,ทวีวัฒนา,514.0,209.0,0.0,31.0,2.0,32.0,0.0,0.0,22.0,281.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0
1,ทุ่งครุ,557.0,543.0,1.0,382.0,536.0,13.0,63.0,4.0,319.0,464.0,3.0,0.0,11.0,0.0,0.0,0.0,21.0
1,ธนบุรี,785.0,37.0,3.0,1.0,248.0,41.0,0.0,0.0,12.0,122.0,46.0,0.0,59.0,0.0,0.0,7.0,0.0
1,บางกอกน้อย,216.0,0.0,0.0,288.0,2.0,930.0,0.0,0.0,48.0,5.0,0.0,1077.0,0.0,1.0,0.0,0.0,0.0
1,บางกอกใหญ่,339.0,222.0,0.0,12.0,4.0,108.0,0.0,1.0,41.0,14.0,0.0,134.0,0.0,0.0,0.0,64.0,0.0
1,บางกะปิ,1380.0,463.0,0.0,740.0,20.0,0.0,4.0,7.0,1273.0,25.0,22.0,0.0,8.0,0.0,0.0,593.0,18.0
1,บางขุนเทียน,666.0,594.0,4.0,299.0,630.0,0.0,18.0,2.0,222.0,571.0,10.0,0.0,33.0,0.0,16.0,324.0,3.0
1,บางคอแหลม,605.0,428.0,0.0,9.0,463.0,0.0,389.0,0.0,6.0,221.0,39.0,0.0,10.0,0.0,5.0,0.0,0.0
1,บางซื่อ,878.0,104.0,0.0,84.0,1.0,39.0,10.0,0.0,138.0,0.0,1.0,2.0,1.0,0.0,0.0,92.0,0.0
1,บางนา,711.0,289.0,0.0,411.0,440.0,2.0,0.0,1.0,464.0,120.0,0.0,42.0,0.0,0.0,2.0,204.0,0.0
1,บางบอน,412.0,26.0,1.0,322.0,447.0,37.0,0.0,0.0,300.0,347.0,0.0,6.0,1.0,0.0,38.0,53.0,0.0
1,บางพลัด,104.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,401.0,9.0,170.0,735.0,186.0,0.0,1.0,3.0,0.0
1,บางรัก,280.0,0.0,21.0,0.0,0.0,841.0,473.0,1.0,0.0,1.0,598.0,0.0,729.0,0.0,0.0,4.0,0.0
1,บางเขน,1010.0,1010.0,0.0,237.0,10.0,992.0,41.0,2.0,666.0,51.0,0.0,46.0,2.0,0.0,0.0,106.0,3.0
